date,HICP,location,total_deaths,stringency_index,total_cases_per_million,new_cases_smoothed_per_million,weekly_hosp_admissions_per_million,continent,Year,Month
2020-11,-0.11649599433784459,Italy,44683.0,82.41,19393.632,445.24,275.825,Europe,2020,11
2020-12,-0.09007250917419675,Italy,64036.0,80.56,30932.456,271.76,153.106,Europe,2020,12
2021-01,-0.021811839168105664,Italy,85162.0,74.07,41586.892,209.194,149.346,Europe,2021,1
2021-02,0.00020773180160107784,Italy,95486.0,75.925,47356.296,207.425,113.4615,Europe,2021,2
2021-03,0.04424687374101456,Italy,101881.0,79.63,54233.996,375.248,209.596,Europe,2021,3
2021-04,0.08608405858345718,Italy,119021.0,78.7,66898.478,250.122,141.8675,Europe,2021,4
2021-05,0.10369971535922283,Italy,125153.0,69.44,70941.215,84.247,60.165,Europe,2021,5
2021-06,0.11470950084407619,Italy,126976.0,71.3,71877.773,32.253,14.5755,Europe,2021,6
2021-07,0.20939365601381513,Italy,127864.0,74.0,72569.706,68.579,11.129,Europe,2021,7
2021-08,0.23581714117746327,Italy,128413.0,53.98,75121.916,105.703,40.008,Europe,2021,8
2021-09,0.23801909827443382,Italy,129056.0,57.295,76634.243,73.866,33.199,Europe,2021,9
2021-10,0.4119737089351172,Italy,131274.0,50.62,79577.222,45.905,20.462,Europe,2021,10
2021-11,0.5352833063654748,Italy,132739.0,49.815,82193.492,153.619,40.7535,Europe,2021,11
2021-12,0.5352833063654748,Italy,134765.0,49.57,88186.449,357.778,77.375,Europe,2021,12
2022-01,0.8325475144565159,Italy,143296.0,53.23,165677.673,2517.007,187.779,Europe,2022,1
2022-02,1.0263197389899354,Italy,150824.0,47.385,204164.06,1070.7240000000002,111.971,Europe,2022,2
2022-03,1.2024763067475894,Italy,157692.0,43.69,233752.878,1154.354,77.544,Europe,2022,3
2022-04,1.0020982109232575,Italy,162105.5,36.44,268804.2265,1014.789,85.3355,Europe,2022,4
2022-05,1.0945804089960263,Italy,165918.0,22.52,291836.056,349.604,58.81,Europe,2022,5
2022-06,1.255323277074885,Italy,167703.0,19.22,302264.043,510.184,45.3525,Europe,2022,6
2022-07,1.2575252341718561,Italy,170798.0,19.22,349069.655,822.751,107.068,Europe,2022,7
2022-08,1.343401560953712,Italy,173982.0,19.22,363838.004,467.754,49.646,Europe,2022,8
2022-09,1.3367956896628004,Italy,176546.0,15.51,375167.402,328.791,33.8855,Europe,2022,9
2022-10,2.290243112651102,Italy,177956.0,15.51,390764.445,697.988,66.957,Europe,2022,10
2022-11,2.402542924596607,Italy,180139.0,19.21,404458.257,534.801,68.8375,Europe,2022,11
2022-12,2.3210705120086916,Italy,181271.0,19.21,412071.574,347.513,81.237,Europe,2022,12
2023-01,2.1317022016692135,Italy,186158.0,0.0,429911.498,114.189,43.837,Europe,2023,1
2023-02,1.937929977135794,Italy,189155.0,0.0,435336.171,66.0295,27.685499999999998,Europe,2023,2
2023-03,1.568001184844721,Italy,188974.0,0.0,434980.482,55.754,23.46,Europe,2023,3
2023-04,1.5393757425841021,Italy,189627.0,0.0,436544.082,55.31,27.567500000000003,Europe,2023,4
2023-05,1.488730729353777,Italy,190122.0,0.0,437561.3,55.776,16.617,Europe,2023,5
